"continent","country","state","country code","state code","Status"
"Africa","Angola","","AO","","Present, no details"
"Africa","Benin","","BJ","","Present, no details"
"Africa","Botswana","","BW","","Transient"
"Africa","Burkina Faso","","BF","","Present, no details"
"Africa","Burundi","","BI","","Present, no details"
"Africa","Cabo Verde","","CV","","Present, no details"
"Africa","Cameroon","","CM","","Present, widespread"
"Africa","Central African Republic","","CF","","Present, no details"
"Africa","Chad","","TD","","Present, no details"
"Africa","Comoros","","KM","","Present, widespread"
"Africa","Congo","","CG","","Present, no details"
"Africa","Congo, The Democratic Republic of the","","CD","","Present, no details"
"Africa","Cote d'Ivoire","","CI","","Present, no details"
"Africa","Equatorial Guinea","","GQ","","Present, no details"
"Africa","Eritrea","","ER","","Present, no details"
"Africa","Eswatini","","SZ","","Present, no details"
"Africa","Ethiopia","","ET","","Present, no details"
"Africa","Gabon","","GA","","Present, no details"
"Africa","Gambia","","GM","","Present, no details"
"Africa","Ghana","","GH","","Present, no details"
"Africa","Guinea","","GN","","Present, no details"
"Africa","Guinea-Bissau","","GW","","Present, no details"
"Africa","Kenya","","KE","","Present, no details"
"Africa","Liberia","","LR","","Present, no details"
"Africa","Madagascar","","MG","","Present, restricted distribution"
"Africa","Malawi","","MW","","Present, no details"
"Africa","Mali","","ML","","Present, no details"
"Africa","Mauritania","","MR","","Present, no details"
"Africa","Mauritius","","MU","","Present, widespread"
"Africa","Mayotte","","YT","","Present, restricted distribution"
"Africa","Mozambique","","MZ","","Present, restricted distribution"
"Africa","Namibia","","NA","","Present, no details"
"Africa","Niger","","NE","","Present, no details"
"Africa","Nigeria","","NG","","Present, no details"
"Africa","Reunion","","RE","","Present, widespread"
"Africa","Rwanda","","RW","","Present, no details"
"Africa","Senegal","","SN","","Present, no details"
"Africa","Sierra Leone","","SL","","Present, no details"
"Africa","South Africa","","ZA","","Present, restricted distribution"
"Africa","Sudan","","SD","","Present, no details"
"Africa","Tanzania, United Republic of","","TZ","","Present, no details"
"Africa","Togo","","TG","","Present, no details"
"Africa","Uganda","","UG","","Present, no details"
"Africa","Zambia","","ZM","","Present, no details"
"Africa","Zimbabwe","","ZW","","Present, no details"
"America","Chile","","CL","","Absent, confirmed by survey"
"America","French Guiana","","GF","","Absent, invalid record"
"America","Suriname","","SR","","Absent, invalid record"
"America","United States of America","","US","","Present, restricted distribution"
"America","United States of America","California","US","ca","Transient"
"America","United States of America","Florida","US","fl","Absent, intercepted only"
