"continent","country","state","country code","state code","Status"
"America","Canada","","CA","","Present, restricted distribution"
"America","United States of America","","US","","Present, few occurrences"
"Asia","Iran","","IR","","Present, no details"
"Asia","Kazakhstan","","KZ","","Present, no details"
"Asia","Kyrgyzstan","","KG","","Present, no details"
"Asia","Tajikistan","","TJ","","Present, no details"
"Asia","Turkmenistan","","TM","","Present, no details"
"Europe","Austria","","AT","","Present, no details"
"Europe","Belgium","","BE","","Present, restricted distribution"
"Europe","Bulgaria","","BG","","Present, no details"
"Europe","Croatia","","HR","","Present, widespread"
"Europe","Czechia","","CZ","","Present, widespread"
"Europe","Estonia","","EE","","Present, no details"
"Europe","France","","FR","","Present, no details"
"Europe","Georgia","","GE","","Present, no details"
"Europe","Germany","","DE","","Present, no details"
"Europe","Greece","","GR","","Present, no details"
"Europe","Hungary","","HU","","Present, no details"
"Europe","Italy","","IT","","Present, no details"
"Europe","Latvia","","LV","","Present, no details"
"Europe","Lithuania","","LT","","Present, no details"
"Europe","Moldova","","MD","","Present, no details"
"Europe","Montenegro","","ME","","Present, no details"
"Europe","Netherlands","","NL","","Present, no details"
"Europe","Norway","","NO","","Present, no details"
"Europe","Poland","","PL","","Present, no details"
"Europe","Portugal","","PT","","Present, no details"
"Europe","Romania","","RO","","Present, no details"
"Europe","Russian Federation","","RU","","Present, no details"
"Europe","Serbia","","RS","","Present, no details"
"Europe","Slovakia","","SK","","Present, no details"
"Europe","Spain","","ES","","Present, no details"
"Europe","Sweden","","SE","","Present, no details"
"Europe","Switzerland","","CH","","Present, no details"
"Europe","Türkiye","","TR","","Present, no details"
"Europe","Ukraine","","UA","","Present, no details"
