col_0,Partner,col_2,HS Code,Product,Year,UOM,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Period/Period %  Change (Qty),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
1,Mexico,1,0810904675,TOMATILLOS FR,2025-2025,KG,"8,006","14,130,460.0","7,925","13,568,145.0","8,067","13,304,074.0","7,098","12,377,780.0","6,455","11,719,537.0","6,750","12,519,804.0","6,411","11,339,840.0","7,190","10,639,249.0","8,818","12,033,091.0","8,319","13,310,631.0","9,458","12,336,352.0","12,558","14,089,136.0","97,054","151,368,099.0",-1,-4,US,MX,0810904675,,Standard_Query_21600.csv
1,Mexico,1,0810904675,TOMATILLOS FR,2026-2026,KG,"10,425","12,473,033.0","12,109","11,439,113.0",,,,,,,,,,,,,,,,,,,,,"22,534","23,912,146.0",16,-8,US,MX,0810904675,,Standard_Query_21600.csv
1,Mexico,2,0810904640,"JACKFRUIT, FRESH",2023-2023,KG,524,"666,438.0",756,"1,052,326.0","1,064","1,654,251.0","1,524","2,198,307.0","1,607","2,411,569.0","1,694","2,705,796.0","1,572","2,495,925.0","1,019","1,415,457.0",771,"895,120.0",754,"870,979.0",535,"576,106.0",579,"569,309.0","12,401","17,511,583.0",44,58,US,MX,0810904640,,Standard_Query_21600.csv
1,Mexico,2,0810904640,"JACKFRUIT, FRESH",2024-2024,KG,786,"890,381.0",873,"1,171,006.0","1,476","2,152,579.0","1,855","2,811,692.0","1,987","3,155,599.0","1,811","2,978,066.0","1,489","2,430,641.0","1,107","1,631,990.0","1,036","1,469,394.0",510,"580,314.0",443,"476,452.0",617,"712,369.0","13,989","20,460,483.0",11,32,US,MX,0810904640,,Standard_Query_21600.csv
1,Mexico,2,0810904640,"JACKFRUIT, FRESH",2025-2025,KG,588,"843,952.0",772,"1,010,099.0","1,275","2,193,329.0","1,420","2,357,044.0","1,703","2,714,272.0","1,854","2,797,280.0","1,176","2,159,867.0",930,"1,738,627.0",644,"1,165,891.0",542,"874,897.0",535,"797,228.0",371,"557,516.0","11,810","19,210,002.0",31,20,US,MX,0810904640,,Standard_Query_21600.csv
1,Mexico,2,0810904640,"JACKFRUIT, FRESH",2026-2026,KG,512,"884,446.0",565,"1,126,726.0",,,,,,,,,,,,,,,,,,,,,"1,077","2,011,172.0",10,27,US,MX,0810904640,,Standard_Query_21600.csv
1,Mexico,3,0810904620,"CACTUS PEARS, FR",2023-2023,KG,0,0.0,3,960.0,44,"21,676.0",101,"56,020.0",152,"176,581.0",454,"368,102.0","1,067","1,346,944.0","1,297","1,954,281.0","1,241","1,767,808.0",973,"990,465.0",509,"345,545.0",67,"47,836.0","5,907","7,076,218.0",,,US,MX,0810904620,,Standard_Query_21600.csv
1,Mexico,3,0810904620,"CACTUS PEARS, FR",2024-2024,KG,36,"22,158.0",21,"11,009.0",81,"47,099.0",67,"22,980.0",411,"212,819.0","1,014","796,887.0","1,441","1,790,760.0","1,409","2,610,388.0","1,620","2,684,066.0","1,520","1,899,816.0",759,"670,947.0",186,"138,746.0","8,566","10,907,675.0",-41,-50,US,MX,0810904620,,Standard_Query_21600.csv
1,Mexico,3,0810904620,"CACTUS PEARS, FR",2025-2025,KG,83,"32,780.0",63,"26,097.0",10,"2,465.0",79,"64,032.0",623,"529,075.0",945,"1,006,340.0","1,550","1,813,225.0","1,630","2,386,529.0","1,807","2,365,955.0","1,749","2,272,151.0",893,"862,997.0",277,"205,988.0","9,709","11,567,634.0",-24,-20,US,MX,0810904620,,Standard_Query_21600.csv
1,Mexico,3,0810904620,"CACTUS PEARS, FR",2026-2026,KG,175,"129,352.0",199,"148,959.0",,,,,,,,,,,,,,,,,,,,,374,"278,311.0",14,15,US,MX,0810904620,,Standard_Query_21600.csv
1,Mexico,4,0810904680,"FRUITS, FRS, NES",2023-2023,KG,223,"236,314.0",174,"191,738.0",310,"275,524.0",718,"444,380.0","1,506","946,410.0","1,359","965,685.0","2,456","1,783,788.0","2,010","1,774,487.0","2,169","1,825,315.0","1,503","999,329.0","1,698","901,668.0",875,"447,141.0","14,999","10,791,779.0",-22,-19,US,MX,0810904680,,Standard_Query_21600.csv
